D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_54_623.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_54_623.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_54_623.jpg, 0, 0, 0, 7.833147E-05
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_54_726.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_54_726.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_54_726.jpg, 0, 0, 0, 7.819118E-05
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_54_834.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_54_834.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_54_834.jpg, 0, 0, 0, 8.012645E-05
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_54_942.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_54_942.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_54_942.jpg, 0, 0.2959857, 0, 0.3106079
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_55_057.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_55_057.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_55_057.jpg, 0, 0.664272, 0, 1.009533
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_55_162.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_55_162.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_55_162.jpg, -0.2843274, 0.9485993, 0, 2.121959
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_55_269.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_55_269.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_55_269.jpg, -0.03088018, 1, 0, 3.289369
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_55_371.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_55_371.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_55_371.jpg, 0, 1, 0, 4.696741
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_55_475.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_55_475.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_55_475.jpg, 0, 1, 0, 5.855675
D:\simulator\simulator-windows-64\_data\IMG\center_2020_12_19_17_48_55_581.jpg, D:\simulator\simulator-windows-64\_data\IMG\left_2020_12_19_17_48_55_581.jpg, D:\simulator\simulator-windows-64\_data\IMG\right_2020_12_19_17_48_55_581.jpg, -0.2936817, 1, 0, 6.978106
